symbol,cluster_primary,cluster_secondary,priority,available_in_current_cache,available_timeframes,start_date,end_date,row_count_total,liquidity_tier,expected_cost_tier,has_derivatives,notes
LTCUSDT,OLD_ALT_MID,,P1_EXPANSION,YES,1h,2022-01-01,2026-06-30,78574,HIGH,LOW,True,derivatives=True;cluster=OLD_ALT_MID
MANAUSDT,GAMING_METAVERSE,,P2_OPTIONAL,YES,1h,2022-01-01,2026-06-30,39287,LOW,HIGH,False,derivatives=False;cluster=GAMING_METAVERSE
MKRUSDT,DEFI,,P1_EXPANSION,YES,1h,2022-01-01,2026-06-30,39287,MEDIUM,MEDIUM,False,derivatives=False;cluster=DEFI
NEARUSDT,HIGH_BETA_L1,VOLATILE_ALT,P0_CORE,YES,1h,2022-01-01,2026-06-30,39287,HIGH,MEDIUM,False,derivatives=False;cluster=HIGH_BETA_L1
OCEANUSDT,AI_DATA,,P2_OPTIONAL,UNAVAILABLE_IN_CURRENT_DATA,,,,0,MEDIUM,MEDIUM,False,UNAVAILABLE_IN_CURRENT_DATA;cluster=AI_DATA
OPUSDT,HIGH_BETA_L1,,P0_CORE,YES,1h,2022-06-01,2026-06-30,71540,HIGH,MEDIUM,True,derivatives=True;cluster=HIGH_BETA_L1
PEPEUSDT,MEME_RETAIL,,P1_EXPANSION,UNAVAILABLE_IN_CURRENT_DATA,,,,0,HIGH,MEDIUM,False,UNAVAILABLE_IN_CURRENT_DATA;cluster=MEME_RETAIL
QNTUSDT,UNCLASSIFIED,,P3_LATER,YES,1h,2022-10-20,2026-06-30,32398,LOW,HIGH,False,UNCLASSIFIED;derivatives=False
RENDERUSDT,AI_DATA,,P2_OPTIONAL,UNAVAILABLE_IN_CURRENT_DATA,,,,0,MEDIUM,MEDIUM,False,UNAVAILABLE_IN_CURRENT_DATA;cluster=AI_DATA
RUNEUSDT,UNCLASSIFIED,,P3_LATER,YES,1h,2022-01-01,2026-06-30,39408,LOW,HIGH,False,UNCLASSIFIED;derivatives=False
SANDUSDT,GAMING_METAVERSE,,P2_OPTIONAL,YES,1h,2022-01-01,2026-06-30,39287,LOW,HIGH,False,derivatives=False;cluster=GAMING_METAVERSE
SHIBUSDT,MEME_RETAIL,,P1_EXPANSION,UNAVAILABLE_IN_CURRENT_DATA,,,,0,HIGH,MEDIUM,False,UNAVAILABLE_IN_CURRENT_DATA;cluster=MEME_RETAIL
SNXUSDT,UNCLASSIFIED,,P3_LATER,YES,1h,2022-01-01,2026-06-30,39408,LOW,HIGH,False,UNCLASSIFIED;derivatives=False
SOLUSDT,HIGH_BETA_L1,VOLATILE_ALT,P0_CORE,YES,1h,2022-01-01,2026-06-30,201166,HIGH,MEDIUM,True,derivatives=True;cluster=HIGH_BETA_L1
STXUSDT,UNCLASSIFIED,,P3_LATER,YES,1h,2023-02-21,2026-06-30,29410,LOW,HIGH,False,UNCLASSIFIED;derivatives=False
SUIUSDT,DERIVATIVES_RICH,,P0_CORE,YES,1h,2023-05-03,2026-06-30,55408,HIGH,LOW,True,derivatives=True;cluster=DERIVATIVES_RICH
THETAUSDT,UNCLASSIFIED,,P3_LATER,YES,1h,2022-01-01,2026-06-30,39408,LOW,HIGH,False,UNCLASSIFIED;derivatives=False
TIAUSDT,UNCLASSIFIED,,P3_LATER,YES,1h,2023-10-31,2026-06-30,23358,LOW,HIGH,False,UNCLASSIFIED;derivatives=False
TRXUSDT,UNCLASSIFIED,,P3_LATER,YES,1h,2022-01-01,2026-06-30,39287,LOW,HIGH,False,UNCLASSIFIED;derivatives=False
UNIUSDT,DEFI,,P1_EXPANSION,YES,1h,2022-01-01,2026-06-30,78816,MEDIUM,MEDIUM,True,derivatives=True;cluster=DEFI
VETUSDT,UNCLASSIFIED,,P3_LATER,YES,1h,2022-01-01,2026-06-30,39287,LOW,HIGH,False,UNCLASSIFIED;derivatives=False
WIFUSDT,UNCLASSIFIED,,P3_LATER,YES,1h,2024-01-18,2026-06-30,21466,LOW,HIGH,False,UNCLASSIFIED;derivatives=False
WLDUSDT,AI_DATA,,P2_OPTIONAL,UNAVAILABLE_IN_CURRENT_DATA,,,,0,MEDIUM,MEDIUM,False,UNAVAILABLE_IN_CURRENT_DATA;cluster=AI_DATA
XLMUSDT,UNCLASSIFIED,,P3_LATER,YES,1h,2022-01-01,2026-06-30,39287,LOW,HIGH,False,UNCLASSIFIED;derivatives=False
XMRUSDT,PRIVACY_MID,,P2_OPTIONAL,YES,1h,2022-01-01,2026-06-30,39408,MEDIUM,MEDIUM,False,derivatives=False;cluster=PRIVACY_MID
XRPUSDT,OLD_ALT_MID,,P1_EXPANSION,YES,1h,2022-01-01,2026-06-30,78574,HIGH,LOW,True,derivatives=True;cluster=OLD_ALT_MID
YFIUSDT,UNCLASSIFIED,,P3_LATER,YES,1h,2022-01-01,2026-06-30,39287,LOW,HIGH,False,UNCLASSIFIED;derivatives=False
ZECUSDT,PRIVACY_MID,,P2_OPTIONAL,YES,1h,2022-01-01,2026-06-30,39287,MEDIUM,MEDIUM,False,derivatives=False;cluster=PRIVACY_MID
ZILUSDT,UNCLASSIFIED,,P3_LATER,YES,1h,2022-01-01,2026-06-30,39287,LOW,HIGH,False,UNCLASSIFIED;derivatives=False
ZRXUSDT,UNCLASSIFIED,,P3_LATER,YES,1h,2022-01-01,2026-06-30,39408,LOW,HIGH,False,UNCLASSIFIED;derivatives=False
